101	3	12	6	7	6	9	-9	-11
102	5	12	7	12	-9	-9	8	-4
103	8	10	12	7	12	-6	8	-12
104	3	8	3	10	-5	6	-6	-7
105	2	4	11	12	-8	2	-10	-7
106	3	7	4	10	-3	12	-8	10
107	8	10	3	12	4	10	-7	12
108	8	12	8	7	-11	-9	-6	-10
109	2	8	10	9	-12	-4	-4	-10
110	7	9	11	10	12	-2	3	-4
111	6	9	9	12	-2	-4	2	9
112	6	12	4	8	11	-10	-7	-3
113	7	11	11	7	8	-6	12	6
114	8	9	11	10	-8	8	12	-11
115	3	7	12	8	7	-5	8	-2
116	5	8	4	2	-8	10	12	-2
117	4	5	6	11	-8	-8	-10	3
118	8	8	8	6	-3	-6	9	-4
119	8	11	8	9	7	7	-3	-2
120	7	3	4	11	5	11	-11	2
121	5	7	5	2	-12	3	12	11
122	8	10	4	6	-5	-7	12	-11
123	7	7	7	6	-10	8	5	-8
124	4	12	12	3	11	10	2	7
125	8	5	11	5	-12	-2	-4	12
126	2	10	8	4	-3	6	2	-5
127	8	4	4	9	3	10	12	-4
128	7	12	10	2	-3	-9	-7	-5
129	8	11	3	9	-8	-3	6	-4
130	7	3	12	10	-12	-2	-5	-8
131	3	12	6	4	3	-12	-9	-11
132	7	3	4	5	-10	-12	-6	-11
133	2	7	7	2	9	10	-5	-3
134	7	5	12	3	-4	-7	7	-8
135	6	12	8	7	3	-11	-8	9
136	6	5	6	11	-12	-9	12	12
137	8	4	10	3	6	5	-12	-4
138	7	8	2	8	-2	7	-3	-10
139	4	11	2	7	-2	-10	8	-9
140	5	11	9	9	-2	-7	11	11
141	8	7	7	12	-8	-7	6	12
142	8	12	8	6	-9	10	-7	-3
143	8	9	8	2	-4	-10	-12	-8
144	2	9	8	9	12	-10	12	7
145	6	12	3	11	-6	-2	-2	10
146	8	10	11	4	-10	8	-9	9
147	2	8	5	8	-4	-8	-8	-6
148	4	12	7	12	-5	-4	-10	7
149	6	6	5	8	9	-9	11	-6
150	8	6	10	7	-2	-10	-11	4
1234 , 5 , 10 , 7 , 5 , -3 , -12 , -8 , -12
