1,"Solve for x.

x/5=2",10,x=10,,,60,,,typing
2,"Solve for x.

3=x/6",18,x=18,,,60,,,typing
3,"Solve for x.

x/6=5",30,x=30,,,60,,,typing
4,"Solve for x.

2=x-9",11,x=11,,,60,,,typing
5,"Solve for x.

8=x-7",15,x=15,,,60,,,typing
6,"Solve for x.

x/8=6",48,x=48,,,60,,,typing
7,"Solve for x.

x+2=11",9,x=9,,,60,,,typing
8,"Solve for x.

28=x*7",4,x=4,,,60,,,typing
9,"Solve for x.

3=x/7",21,x=21,,,60,,,typing
10,"Solve for x.

x-8=2",10,x=10,,,60,,,typing
11,"Solve for x.

30/x=5",6,x=6,,,60,,,typing
12,"Solve for x.

16=x+7",9,x=9,,,60,,,typing
13,"Solve for x.

12/x=4",3,x=3,,,60,,,typing
14,"Solve for x.

3=x-7",10,x=10,,,60,,,typing
15,"Solve for x.

21=x*3",7,x=7,,,60,,,typing
16,"Solve for x.

5*x=10",2,x=2,,,60,,,typing
17,"Solve for x.

x-6=5",11,x=11,,,60,,,typing
18,"Solve for x.

36/x=4",9,x=9,,,60,,,typing
19,"Solve for x.

6=11-x",5,x=5,,,60,,,typing
20,"Solve for x.

10=x+4",6,x=6,,,60,,,typing
21,"Solve for x.

13-x=6",7,x=7,,,60,,,typing
22,"Solve for x.

x+9=15",6,x=6,,,60,,,typing
23,"Solve for x.

12=4*x",3,x=3,,,60,,,typing
24,"Solve for x.

x*7=21",3,x=3,,,60,,,typing
25,"Solve for x.

8=x-5",13,x=13,,,60,,,typing
26,"Solve for x.

4=12/x",3,x=3,,,60,,,typing
27,"Solve for x.

9=13-x",4,x=4,,,60,,,typing
28,"Solve for x.

5*x=20",4,x=4,,,60,,,typing
29,"Solve for x.

x/4=9",36,x=36,,,60,,,typing
30,"Solve for x.

6=x-4",10,x=10,,,60,,,typing
31,"Solve for x.

9=17-x",8,x=8,,,60,,,typing
32,"Solve for x.

8/x=2",4,x=4,,,60,,,typing
33,"Solve for x.

11=2+x",9,x=9,,,60,,,typing
34,"Solve for x.

15-x=6",9,x=9,,,60,,,typing
35,"Solve for x.

7=56/x",8,x=8,,,60,,,typing
36,"Solve for x.

9=x/8",72,x=72,,,60,,,typing
37,"Solve for x.

x/9=5",45,x=45,,,60,,,typing
38,"Solve for x.

8=40/x",5,x=5,,,60,,,typing
39,"Solve for x.

4=11-x",7,x=7,,,60,,,typing
40,"Solve for x.

7-x=3",4,x=4,,,60,,,typing
41,"Solve for x.

18/x=2",9,x=9,,,60,,,typing
42,"Solve for x.

10-x=6",4,x=4,,,60,,,typing
43,"Solve for x.

36=4*x",9,x=9,,,60,,,typing
44,"Solve for x.

x-5=7",12,x=12,,,60,,,typing
45,"Solve for x.

5+x=7",2,x=2,,,60,,,typing
46,"Solve for x.

11-x=7",4,x=4,,,60,,,typing
47,"Solve for x.

16=x*2",8,x=8,,,60,,,typing
48,"Solve for x.

2*x=18",9,x=9,,,60,,,typing
49,"Solve for x.

x/5=4",20,x=20,,,60,,,typing
50,"Solve for x.

6*x=12",2,x=2,,,60,,,typing
51,"Solve for x.

x/6=4",24,x=24,,,60,,,typing
52,"Solve for x.

7=x/2",14,x=14,,,60,,,typing
53,"Solve for x.

x*9=45",5,x=5,,,60,,,typing
54,"Solve for x.

6=x-2",8,x=8,,,60,,,typing
55,"Solve for x.

12=5+x",7,x=7,,,60,,,typing
56,"Solve for x.

9=x/3",27,x=27,,,60,,,typing
57,"Solve for x.

x/4=3",12,x=12,,,60,,,typing
58,"Solve for x.

x*6=24",4,x=4,,,60,,,typing
59,"Solve for x.

42/x=7",6,x=6,,,60,,,typing
60,"Solve for x.

x*5=45",9,x=9,,,60,,,typing
