"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,1 - 0.01,0.99,.99,,,12,,,typing
2,1 - 0.02,0.98,.98,,,12,,,typing
3,1 - 0.03,0.97,.97,,,12,,,typing
4,1 - 0.04,0.96,.96,,,12,,,typing
5,1 - 0.05,0.95,.95,,,12,,,typing
6,1 - 0.06,0.94,.94,,,12,,,typing
7,1 - 0.07,0.93,.93,,,12,,,typing
8,1 - 0.08,0.92,.92,,,12,,,typing
9,1 - 0.09,0.91,.91,,,12,,,typing
10,1 - 0.1,0.9,.9,,,12,,,typing
11,1 - 0.11,0.89,.89,,,12,,,typing
12,1 - 0.12,0.88,.88,,,12,,,typing
13,1 - 0.13,0.87,.87,,,12,,,typing
14,1 - 0.14,0.86,.86,,,12,,,typing
15,1 - 0.15,0.85,.85,,,12,,,typing
16,1 - 0.16,0.84,.84,,,12,,,typing
17,1 - 0.17,0.83,.83,,,12,,,typing
18,1 - 0.18,0.82,.82,,,12,,,typing
19,1 - 0.19,0.81,.81,,,12,,,typing
20,1 - 0.2,0.8,.8,,,12,,,typing
21,1 - 0.21,0.79,.79,,,12,,,typing
22,1 - 0.22,0.78,.78,,,12,,,typing
23,1 - 0.23,0.77,.77,,,12,,,typing
24,1 - 0.24,0.76,.76,,,12,,,typing
25,1 - 0.25,0.75,.75,,,12,,,typing
26,1 - 0.26,0.74,.74,,,12,,,typing
27,1 - 0.27,0.73,.73,,,12,,,typing
28,1 - 0.28,0.72,.72,,,12,,,typing
29,1 - 0.29,0.71,.71,,,12,,,typing
30,1 - 0.3,0.7,.7,,,12,,,typing
31,1 - 0.31,0.69,.69,,,12,,,typing
32,1 - 0.32,0.68,.68,,,12,,,typing
33,1 - 0.33,0.67,.67,,,12,,,typing
34,1 - 0.34,0.66,.66,,,12,,,typing
35,1 - 0.35,0.65,.65,,,12,,,typing
36,1 - 0.36,0.64,.64,,,12,,,typing
37,1 - 0.37,0.63,.63,,,12,,,typing
38,1 - 0.38,0.62,.62,,,12,,,typing
39,1 - 0.39,0.61,.61,,,12,,,typing
40,1 - 0.4,0.6,.6,,,12,,,typing
41,1 - 0.41,0.59,.59,,,12,,,typing
42,1 - 0.42,0.58,.58,,,12,,,typing
43,1 - 0.43,0.57,.57,,,12,,,typing
44,1 - 0.44,0.56,.56,,,12,,,typing
45,1 - 0.45,0.55,.55,,,12,,,typing
46,1 - 0.46,0.54,.54,,,12,,,typing
47,1 - 0.47,0.53,.53,,,12,,,typing
48,1 - 0.48,0.52,.52,,,12,,,typing
49,1 - 0.49,0.51,.51,,,12,,,typing
50,1 - 0.5,0.5,.5,,,12,,,typing
51,1 - 0.51,0.49,.49,,,12,,,typing
52,1 - 0.52,0.48,.48,,,12,,,typing
53,1 - 0.53,0.47,.47,,,12,,,typing
54,1 - 0.54,0.46,.46,,,12,,,typing
55,1 - 0.55,0.45,.45,,,12,,,typing
56,1 - 0.56,0.44,.44,,,12,,,typing
57,1 - 0.57,0.43,.43,,,12,,,typing
58,1 - 0.58,0.42,.42,,,12,,,typing
59,1 - 0.59,0.41,.41,,,12,,,typing
60,1 - 0.6,0.4,.4,,,12,,,typing
61,1 - 0.61,0.39,.39,,,12,,,typing
62,1 - 0.62,0.38,.38,,,12,,,typing
63,1 - 0.63,0.37,.37,,,12,,,typing
64,1 - 0.64,0.36,.36,,,12,,,typing
65,1 - 0.65,0.35,.35,,,12,,,typing
66,1 - 0.66,0.34,.34,,,12,,,typing
67,1 - 0.67,0.33,.33,,,12,,,typing
68,1 - 0.68,0.32,.32,,,12,,,typing
69,1 - 0.69,0.31,.31,,,12,,,typing
70,1 - 0.7,0.3,.3,,,12,,,typing
71,1 - 0.71,0.29,.29,,,12,,,typing
72,1 - 0.72,0.28,.28,,,12,,,typing
73,1 - 0.73,0.27,.27,,,12,,,typing
74,1 - 0.74,0.26,.26,,,12,,,typing
75,1 - 0.75,0.25,.25,,,12,,,typing
76,1 - 0.76,0.24,.24,,,12,,,typing
77,1 - 0.77,0.23,.23,,,12,,,typing
78,1 - 0.78,0.22,.22,,,12,,,typing
79,1 - 0.79,0.21,.21,,,12,,,typing
80,1 - 0.8,0.2,.2,,,12,,,typing
81,1 - 0.81,0.19,.19,,,12,,,typing
82,1 - 0.82,0.18,.18,,,12,,,typing
83,1 - 0.83,0.17,.17,,,12,,,typing
84,1 - 0.84,0.16,.16,,,12,,,typing
85,1 - 0.85,0.15,.15,,,12,,,typing
86,1 - 0.86,0.14,.14,,,12,,,typing
87,1 - 0.87,0.13,.13,,,12,,,typing
88,1 - 0.88,0.12,.12,,,12,,,typing
89,1 - 0.89,0.11,.11,,,12,,,typing
90,1 - 0.9,0.1,.1,,,12,,,typing
91,1 - 0.91,0.09,.09,,,12,,,typing
92,1 - 0.92,0.08,.08,,,12,,,typing
93,1 - 0.93,0.07,.07,,,12,,,typing
94,1 - 0.94,0.06,.06,,,12,,,typing
95,1 - 0.95,0.05,.05,,,12,,,typing
96,1 - 0.96,0.04,.04,,,12,,,typing
97,1 - 0.97,0.03,.03,,,12,,,typing
98,1 - 0.98,0.02,.02,,,12,,,typing
99,1 - 0.99,0.01,.01,,,12,,,typing
