"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Simplify the fraction 9/15.",3/5,,,,12,,,typing
2,"Simplify the fraction 55/22.",5/2,,,,12,,,typing
3,"Simplify the fraction 2/12.",1/6,,,,12,,,typing
4,"Simplify the fraction 8/14.",4/7,,,,12,,,typing
5,"Simplify the fraction 15/18.",5/6,,,,12,,,typing
6,"Simplify the fraction 5/40.",1/8,,,,12,,,typing
7,"Simplify the fraction 24/30.",4/5,,,,12,,,typing
8,"Simplify the fraction 70/60.",7/6,,,,12,,,typing
9,"Simplify the fraction 3/21.",1/7,,,,12,,,typing
10,"Simplify the fraction 5/10.",1/2,,,,12,,,typing
11,"Simplify the fraction 5/35.",1/7,,,,12,,,typing
12,"Simplify the fraction 18/21.",6/7,,,,12,,,typing
13,"Simplify the fraction 22/55.",2/5,,,,12,,,typing
14,"Simplify the fraction 10/90.",1/9,,,,12,,,typing
15,"Simplify the fraction 9/21.",3/7,,,,12,,,typing
16,"Simplify the fraction 16/14.",8/7,,,,12,,,typing
17,"Simplify the fraction 4/18.",2/9,,,,12,,,typing
18,"Simplify the fraction 45/20.",9/4,,,,12,,,typing
19,"Simplify the fraction 20/50.",2/5,,,,12,,,typing
20,"Simplify the fraction 99/77.",9/7,,,,12,,,typing
21,"Simplify the fraction 12/15.",4/5,,,,12,,,typing
22,"Simplify the fraction 6/10.",3/5,,,,12,,,typing
23,"Simplify the fraction 70/40.",7/4,,,,12,,,typing
24,"Simplify the fraction 21/9.",7/3,,,,12,,,typing
25,"Simplify the fraction 12/15.",4/5,,,,12,,,typing
26,"Simplify the fraction 24/27.",8/9,,,,12,,,typing
27,"Simplify the fraction 77/88.",7/8,,,,12,,,typing
28,"Simplify the fraction 18/4.",9/2,,,,12,,,typing
29,"Simplify the fraction 20/35.",4/7,,,,12,,,typing
30,"Simplify the fraction 15/21.",5/7,,,,12,,,typing
31,"Simplify the fraction 35/30.",7/6,,,,12,,,typing
32,"Simplify the fraction 15/9.",5/3,,,,12,,,typing
33,"Simplify the fraction 33/55.",3/5,,,,12,,,typing
34,"Simplify the fraction 6/10.",3/5,,,,12,,,typing
35,"Simplify the fraction 77/88.",7/8,,,,12,,,typing
36,"Simplify the fraction 33/44.",3/4,,,,12,,,typing
37,"Simplify the fraction 8/28.",2/7,,,,12,,,typing
38,"Simplify the fraction 81/36.",9/4,,,,12,,,typing
39,"Simplify the fraction 35/20.",7/4,,,,12,,,typing
40,"Simplify the fraction 2/16.",1/8,,,,12,,,typing
41,"Simplify the fraction 27/15.",9/5,,,,12,,,typing
42,"Simplify the fraction 9/72.",1/8,,,,12,,,typing
43,"Simplify the fraction 63/54.",7/6,,,,12,,,typing
44,"Simplify the fraction 18/8.",9/4,,,,12,,,typing
45,"Simplify the fraction 20/70.",2/7,,,,12,,,typing
46,"Simplify the fraction 9/24.",3/8,,,,12,,,typing
47,"Simplify the fraction 15/27.",5/9,,,,12,,,typing
48,"Simplify the fraction 30/70.",3/7,,,,12,,,typing
49,"Simplify the fraction 54/42.",9/7,,,,12,,,typing
50,"Simplify the fraction 77/44.",7/4,,,,12,,,typing
51,"Simplify the fraction 55/77.",5/7,,,,12,,,typing
52,"Simplify the fraction 12/14.",6/7,,,,12,,,typing
53,"Simplify the fraction 18/48.",3/8,,,,12,,,typing
54,"Simplify the fraction 9/45.",1/5,,,,12,,,typing
55,"Simplify the fraction 40/90.",4/9,,,,12,,,typing
56,"Simplify the fraction 8/18.",4/9,,,,12,,,typing
57,"Simplify the fraction 45/10.",9/2,,,,12,,,typing
58,"Simplify the fraction 14/10.",7/5,,,,12,,,typing
59,"Simplify the fraction 50/40.",5/4,,,,12,,,typing
60,"Simplify the fraction 45/35.",9/7,,,,12,,,typing
61,"Simplify the fraction 81/72.",9/8,,,,12,,,typing
62,"Simplify the fraction 15/24.",5/8,,,,12,,,typing
63,"Simplify the fraction 24/28.",6/7,,,,12,,,typing
64,"Simplify the fraction 42/36.",7/6,,,,12,,,typing
65,"Simplify the fraction 18/16.",9/8,,,,12,,,typing
66,"Simplify the fraction 20/45.",4/9,,,,12,,,typing
67,"Simplify the fraction 99/77.",9/7,,,,12,,,typing
68,"Simplify the fraction 30/35.",6/7,,,,12,,,typing
69,"Simplify the fraction 63/45.",7/5,,,,12,,,typing
70,"Simplify the fraction 44/55.",4/5,,,,12,,,typing
71,"Simplify the fraction 15/6.",5/2,,,,12,,,typing
72,"Simplify the fraction 20/36.",5/9,,,,12,,,typing
73,"Simplify the fraction 20/15.",4/3,,,,12,,,typing
74,"Simplify the fraction 36/28.",9/7,,,,12,,,typing
75,"Simplify the fraction 30/35.",6/7,,,,12,,,typing
76,"Simplify the fraction 2/14.",1/7,,,,12,,,typing
77,"Simplify the fraction 12/9.",4/3,,,,12,,,typing
78,"Simplify the fraction 25/30.",5/6,,,,12,,,typing
79,"Simplify the fraction 2/18.",1/9,,,,12,,,typing
